row	packet_index	time_display	event_family	channel	tlp_type_hex	link_width
1	1944516	4.848 sec	TLP	Downstream	0xE	1
2	1944517	4.848 sec	TLP	Downstream	0x9	1
3	1944519	4.848 sec	TLP	Downstream	0x9	1
4	1944521	4.848 sec	TLP	Downstream	0x9	1
5	1944523	4.848 sec	TLP	Downstream	0x9	1
6	1944525	4.848 sec	TLP	Downstream	0x9	1
7	1944527	4.848 sec	TLP	Downstream	0x9	1
8	1944531	4.848 sec	TLP	Downstream	0x9	1
9	1944533	4.848 sec	TLP	Downstream	0x9	1
10	1944535	4.848 sec	TLP	Downstream	0x9	1
11	1944537	4.848 sec	TLP	Downstream	0x9	1
12	1944539	4.848 sec	TLP	Downstream	0x9	1
13	1944543	4.848 sec	TLP	Downstream	0x9	1
14	1944547	4.848 sec	TLP	Downstream	0x9	1
15	1944549	4.848 sec	TLP	Downstream	0x9	1
16	1944551	4.848 sec	TLP	Downstream	0x9	1
17	1944553	4.848 sec	TLP	Downstream	0x9	1
18	1944555	4.848 sec	TLP	Downstream	0x9	1
19	1944557	4.848 sec	TLP	Downstream	0x9	1
20	1944559	4.848 sec	TLP	Downstream	0x9	1
21	1944563	4.848 sec	TLP	Downstream	0xA	1
22	1944567	4.848 sec	TLP	Downstream	0xA	1
23	1944571	4.848 sec	TLP	Downstream	0xA	1
24	1945003	4.853 sec	TLP	Downstream	0x3	1
25	1945005	4.853 sec	TLP	Downstream	0x1	1
26	1945008	4.853 sec	TLP	Upstream	0x11	1
27	1945011	4.853 sec	TLP	Downstream	0x1	1
28	1945013	4.853 sec	TLP	Upstream	0x11	1
29	1945016	4.853 sec	TLP	Downstream	0x1	1
30	1945018	4.853 sec	TLP	Upstream	0x11	1
31	1945021	4.853 sec	TLP	Downstream	0x1	1
32	1945023	4.853 sec	TLP	Upstream	0x11	1
33	1945026	4.853 sec	TLP	Downstream	0x3	1
34	1945029	4.853 sec	TLP	Upstream	0xD	1
