
------------------------------------------------------------------------------------
                                    lecroy-vse-toolkit-poc-20260912-30e3b5c6\g1b-tlp-rows-1k
------------------------------------------------------------------------------------


Running verification script...
...

Test Description : 
PCIe G1b TLP row export - cap 1000 or trace end - v2
PCIE_G1B_TLP_ROWS_V2 cap=1000 time=vendor_display_text
PCIE_G1B_TLP|1944516| 4.848 sec|TLP|Downstream|0xE|1
PCIE_G1B_TLP|1944517| 4.848 sec|TLP|Downstream|0x9|1
PCIE_G1B_TLP|1944519| 4.848 sec|TLP|Downstream|0x9|1
PCIE_G1B_TLP|1944521| 4.848 sec|TLP|Downstream|0x9|1
PCIE_G1B_TLP|1944523| 4.848 sec|TLP|Downstream|0x9|1
PCIE_G1B_TLP|1944525| 4.848 sec|TLP|Downstream|0x9|1
PCIE_G1B_TLP|1944527| 4.848 sec|TLP|Downstream|0x9|1
PCIE_G1B_TLP|1944531| 4.848 sec|TLP|Downstream|0x9|1
PCIE_G1B_TLP|1944533| 4.848 sec|TLP|Downstream|0x9|1
PCIE_G1B_TLP|1944535| 4.848 sec|TLP|Downstream|0x9|1
PCIE_G1B_TLP|1944537| 4.848 sec|TLP|Downstream|0x9|1
PCIE_G1B_TLP|1944539| 4.848 sec|TLP|Downstream|0x9|1
PCIE_G1B_TLP|1944543| 4.848 sec|TLP|Downstream|0x9|1
PCIE_G1B_TLP|1944547| 4.848 sec|TLP|Downstream|0x9|1
PCIE_G1B_TLP|1944549| 4.848 sec|TLP|Downstream|0x9|1
PCIE_G1B_TLP|1944551| 4.848 sec|TLP|Downstream|0x9|1
PCIE_G1B_TLP|1944553| 4.848 sec|TLP|Downstream|0x9|1
PCIE_G1B_TLP|1944555| 4.848 sec|TLP|Downstream|0x9|1
PCIE_G1B_TLP|1944557| 4.848 sec|TLP|Downstream|0x9|1
PCIE_G1B_TLP|1944559| 4.848 sec|TLP|Downstream|0x9|1
PCIE_G1B_TLP|1944563| 4.848 sec|TLP|Downstream|0xA|1
PCIE_G1B_TLP|1944567| 4.848 sec|TLP|Downstream|0xA|1
PCIE_G1B_TLP|1944571| 4.848 sec|TLP|Downstream|0xA|1
PCIE_G1B_TLP|1945003| 4.853 sec|TLP|Downstream|0x3|1
PCIE_G1B_TLP|1945005| 4.853 sec|TLP|Downstream|0x1|1
PCIE_G1B_TLP|1945008| 4.853 sec|TLP|Upstream|0x11|1
PCIE_G1B_TLP|1945011| 4.853 sec|TLP|Downstream|0x1|1
PCIE_G1B_TLP|1945013| 4.853 sec|TLP|Upstream|0x11|1
PCIE_G1B_TLP|1945016| 4.853 sec|TLP|Downstream|0x1|1
PCIE_G1B_TLP|1945018| 4.853 sec|TLP|Upstream|0x11|1
PCIE_G1B_TLP|1945021| 4.853 sec|TLP|Downstream|0x1|1
PCIE_G1B_TLP|1945023| 4.853 sec|TLP|Upstream|0x11|1
PCIE_G1B_TLP|1945026| 4.853 sec|TLP|Downstream|0x3|1
PCIE_G1B_TLP|1945029| 4.853 sec|TLP|Upstream|0xD|1
PCIE_G1B_TLP|2093063| 5.880 sec|TLP|Downstream|0x1|1
PCIE_G1B_TLP|2093065| 5.880 sec|TLP|Upstream|0x11|1
PCIE_G1B_TLP|2093068| 5.880 sec|TLP|Downstream|0x3|1
PCIE_G1B_TLP|2093071| 5.880 sec|TLP|Downstream|0x1|1
PCIE_G1B_TLP|2093072| 5.880 sec|TLP|Upstream|0xD|1
PCIE_G1B_TLP|2093075| 5.880 sec|TLP|Upstream|0x11|1
PCIE_G1B_TLP|2093079| 5.880 sec|TLP|Downstream|0x1|1
PCIE_G1B_TLP|2093081| 5.880 sec|TLP|Upstream|0x11|1
PCIE_G1B_TLP|2093086| 5.880 sec|TLP|Downstream|0x1|1
PCIE_G1B_TLP|2093088| 5.880 sec|TLP|Upstream|0x11|1
PCIE_G1B_TLP|2093091| 5.880 sec|TLP|Downstream|0x1|1
PCIE_G1B_TLP|2093093| 5.880 sec|TLP|Upstream|0x11|1
PCIE_G1B_TLP|2093522| 5.883 sec|TLP|Downstream|0x9|1
PCIE_G1B_TLP|2093524| 5.883 sec|TLP|Upstream|0x12|1
