row	packet_index	time_display	channel	tlp_type_hex	tag	requester_id	completer_id	compl_status
1	1944516	4.848 sec	Downstream	0xE	0	0	NA	NA
2	1944517	4.848 sec	Downstream	0x9	8	0	NA	NA
3	1944519	4.848 sec	Downstream	0x9	14	0	NA	NA
4	1944521	4.848 sec	Downstream	0x9	0	0	NA	NA
5	1944523	4.848 sec	Downstream	0x9	5	0	NA	NA
6	1944525	4.848 sec	Downstream	0x9	11	0	NA	NA
7	1944527	4.848 sec	Downstream	0x9	1	0	NA	NA
8	1944531	4.848 sec	Downstream	0x9	7	0	NA	NA
9	1944533	4.848 sec	Downstream	0x9	13	0	NA	NA
10	1944535	4.848 sec	Downstream	0x9	3	0	NA	NA
11	1944537	4.848 sec	Downstream	0x9	9	0	NA	NA
12	1944539	4.848 sec	Downstream	0x9	15	0	NA	NA
13	1944543	4.848 sec	Downstream	0x9	0	0	NA	NA
14	1944547	4.848 sec	Downstream	0x9	4	0	NA	NA
15	1944549	4.848 sec	Downstream	0x9	10	0	NA	NA
16	1944551	4.848 sec	Downstream	0x9	1	0	NA	NA
17	1944553	4.848 sec	Downstream	0x9	6	0	NA	NA
18	1944555	4.848 sec	Downstream	0x9	12	0	NA	NA
19	1944557	4.848 sec	Downstream	0x9	2	0	NA	NA
20	1944559	4.848 sec	Downstream	0x9	8	0	NA	NA
21	1944563	4.848 sec	Downstream	0xA	14	0	NA	NA
22	1944567	4.848 sec	Downstream	0xA	0	0	NA	NA
23	1944571	4.848 sec	Downstream	0xA	5	0	NA	NA
24	1945003	4.853 sec	Downstream	0x3	0	0	NA	NA
25	1945005	4.853 sec	Downstream	0x1	11	0	NA	NA
26	1945008	4.853 sec	Upstream	0x11	11	0	256	1
27	1945011	4.853 sec	Downstream	0x1	1	0	NA	NA
28	1945013	4.853 sec	Upstream	0x11	1	0	256	1
29	1945016	4.853 sec	Downstream	0x1	7	0	NA	NA
30	1945018	4.853 sec	Upstream	0x11	7	0	256	1
31	1945021	4.853 sec	Downstream	0x1	13	0	NA	NA
32	1945023	4.853 sec	Upstream	0x11	13	0	256	1
33	1945026	4.853 sec	Downstream	0x3	0	0	NA	NA
34	1945029	4.853 sec	Upstream	0xD	0	256	NA	NA
35	2093063	5.880 sec	Downstream	0x1	3	0	NA	NA
36	2093065	5.880 sec	Upstream	0x11	3	0	256	1
37	2093068	5.880 sec	Downstream	0x3	0	0	NA	NA
38	2093071	5.880 sec	Downstream	0x1	9	0	NA	NA
39	2093072	5.880 sec	Upstream	0xD	0	256	NA	NA
40	2093075	5.880 sec	Upstream	0x11	9	0	256	1
41	2093079	5.880 sec	Downstream	0x1	15	0	NA	NA
42	2093081	5.880 sec	Upstream	0x11	15	0	256	1
43	2093086	5.880 sec	Downstream	0x1	0	0	NA	NA
44	2093088	5.880 sec	Upstream	0x11	0	0	256	1
45	2093091	5.880 sec	Downstream	0x1	4	0	NA	NA
46	2093093	5.880 sec	Upstream	0x11	4	0	256	1
47	2093522	5.883 sec	Downstream	0x9	10	0	NA	NA
48	2093524	5.883 sec	Upstream	0x12	10	0	256	0
49	2093536	5.883 sec	Downstream	0x9	1	0	NA	NA
50	2093538	5.883 sec	Upstream	0x12	1	0	256	0
51	2093550	5.883 sec	Downstream	0x9	6	0	NA	NA
52	2093552	5.883 sec	Upstream	0x12	6	0	256	0
