row	packet_index	time_display	event_family	channel	tlp_type_hex	link_width
1	3129	8.277 sec	TLP	Upstream	0xD	1
2	3148	8.277 sec	TLP	Downstream	0x9	1
3	3150	8.277 sec	TLP	Upstream	0x12	1
4	3153	8.277 sec	TLP	Downstream	0x9	1
5	3155	8.277 sec	TLP	Upstream	0x12	1
6	3207	8.277 sec	TLP	Downstream	0x9	1
7	3209	8.277 sec	TLP	Upstream	0x12	1
8	3214	8.277 sec	TLP	Downstream	0x9	1
9	3216	8.277 sec	TLP	Upstream	0x12	1
10	3219	8.277 sec	TLP	Downstream	0x9	1
11	3222	8.277 sec	TLP	Upstream	0x12	1
12	3225	8.277 sec	TLP	Downstream	0x9	1
13	3227	8.277 sec	TLP	Upstream	0x12	1
14	3230	8.277 sec	TLP	Downstream	0x9	1
15	3232	8.277 sec	TLP	Upstream	0x12	1
16	3235	8.277 sec	TLP	Downstream	0x9	1
17	3237	8.277 sec	TLP	Upstream	0x12	1
18	3240	8.277 sec	TLP	Downstream	0x9	1
19	3242	8.277 sec	TLP	Upstream	0x12	1
20	3246	8.277 sec	TLP	Downstream	0x9	1
21	3250	8.277 sec	TLP	Upstream	0x12	1
22	3253	8.277 sec	TLP	Downstream	0x9	1
23	3255	8.277 sec	TLP	Upstream	0x12	1
24	3258	8.277 sec	TLP	Downstream	0x9	1
25	3260	8.277 sec	TLP	Upstream	0x12	1
26	3263	8.277 sec	TLP	Downstream	0x9	1
27	3265	8.277 sec	TLP	Upstream	0x12	1
28	3268	8.277 sec	TLP	Downstream	0x9	1
29	3270	8.277 sec	TLP	Upstream	0x12	1
30	3274	8.277 sec	TLP	Downstream	0x9	1
31	3276	8.277 sec	TLP	Upstream	0x12	1
32	3279	8.277 sec	TLP	Downstream	0x9	1
33	3281	8.277 sec	TLP	Upstream	0x12	1
34	3286	8.277 sec	TLP	Downstream	0x9	1
35	3288	8.277 sec	TLP	Upstream	0x12	1
36	3291	8.277 sec	TLP	Downstream	0x9	1
37	3293	8.277 sec	TLP	Upstream	0x12	1
38	3296	8.277 sec	TLP	Downstream	0x9	1
39	3299	8.277 sec	TLP	Upstream	0x12	1
40	3302	8.277 sec	TLP	Downstream	0x9	1
41	3304	8.277 sec	TLP	Upstream	0x12	1
42	3307	8.277 sec	TLP	Downstream	0x9	1
43	3309	8.277 sec	TLP	Upstream	0x12	1
44	3312	8.277 sec	TLP	Downstream	0xA	1
45	3314	8.277 sec	TLP	Upstream	0x11	1
46	3320	8.277 sec	TLP	Downstream	0x9	1
47	3322	8.277 sec	TLP	Upstream	0x12	1
48	3325	8.277 sec	TLP	Downstream	0x9	1
49	3327	8.277 sec	TLP	Upstream	0x12	1
50	3330	8.277 sec	TLP	Downstream	0xA	1
51	3332	8.277 sec	TLP	Upstream	0x11	1
52	8594	8.314 sec	TLP	Downstream	0x9	1
53	8596	8.314 sec	TLP	Upstream	0x12	1
54	8599	8.314 sec	TLP	Downstream	0xA	1
55	8601	8.314 sec	TLP	Upstream	0x11	1
56	8604	8.314 sec	TLP	Downstream	0xA	1
57	8606	8.314 sec	TLP	Upstream	0x11	1
58	8609	8.314 sec	TLP	Downstream	0xA	1
59	8611	8.314 sec	TLP	Upstream	0x11	1
60	8614	8.314 sec	TLP	Downstream	0xA	1
61	8617	8.314 sec	TLP	Upstream	0x11	1
62	8620	8.314 sec	TLP	Downstream	0xA	1
63	8622	8.314 sec	TLP	Upstream	0x11	1
64	8625	8.314 sec	TLP	Downstream	0xA	1
65	8627	8.314 sec	TLP	Upstream	0x11	1
66	8630	8.314 sec	TLP	Downstream	0xA	1
67	8634	8.314 sec	TLP	Upstream	0x11	1
68	8637	8.314 sec	TLP	Downstream	0xA	1
69	8639	8.314 sec	TLP	Upstream	0x11	1
70	8642	8.314 sec	TLP	Downstream	0xA	1
71	8644	8.314 sec	TLP	Upstream	0x11	1
72	8648	8.314 sec	TLP	Downstream	0xA	1
