
------------------------------------------------------------------------------------
                                    lecroy-vse-toolkit-poc-20260912-30e3b5c6\g1b-tlp-rows-10k
------------------------------------------------------------------------------------


Running verification script...
...

Test Description : 
PCIe G1b TLP row export - cap 10000 or trace end - v2
PCIE_G1B_TLP_ROWS_V2 cap=10000 time=vendor_display_text
PCIE_G1B_TLP|3129| 8.277 sec|TLP|Upstream|0xD|1
PCIE_G1B_TLP|3148| 8.277 sec|TLP|Downstream|0x9|1
PCIE_G1B_TLP|3150| 8.277 sec|TLP|Upstream|0x12|1
PCIE_G1B_TLP|3153| 8.277 sec|TLP|Downstream|0x9|1
PCIE_G1B_TLP|3155| 8.277 sec|TLP|Upstream|0x12|1
PCIE_G1B_TLP|3207| 8.277 sec|TLP|Downstream|0x9|1
PCIE_G1B_TLP|3209| 8.277 sec|TLP|Upstream|0x12|1
PCIE_G1B_TLP|3214| 8.277 sec|TLP|Downstream|0x9|1
PCIE_G1B_TLP|3216| 8.277 sec|TLP|Upstream|0x12|1
PCIE_G1B_TLP|3219| 8.277 sec|TLP|Downstream|0x9|1
PCIE_G1B_TLP|3222| 8.277 sec|TLP|Upstream|0x12|1
PCIE_G1B_TLP|3225| 8.277 sec|TLP|Downstream|0x9|1
PCIE_G1B_TLP|3227| 8.277 sec|TLP|Upstream|0x12|1
PCIE_G1B_TLP|3230| 8.277 sec|TLP|Downstream|0x9|1
PCIE_G1B_TLP|3232| 8.277 sec|TLP|Upstream|0x12|1
PCIE_G1B_TLP|3235| 8.277 sec|TLP|Downstream|0x9|1
PCIE_G1B_TLP|3237| 8.277 sec|TLP|Upstream|0x12|1
PCIE_G1B_TLP|3240| 8.277 sec|TLP|Downstream|0x9|1
PCIE_G1B_TLP|3242| 8.277 sec|TLP|Upstream|0x12|1
PCIE_G1B_TLP|3246| 8.277 sec|TLP|Downstream|0x9|1
PCIE_G1B_TLP|3250| 8.277 sec|TLP|Upstream|0x12|1
PCIE_G1B_TLP|3253| 8.277 sec|TLP|Downstream|0x9|1
PCIE_G1B_TLP|3255| 8.277 sec|TLP|Upstream|0x12|1
PCIE_G1B_TLP|3258| 8.277 sec|TLP|Downstream|0x9|1
PCIE_G1B_TLP|3260| 8.277 sec|TLP|Upstream|0x12|1
PCIE_G1B_TLP|3263| 8.277 sec|TLP|Downstream|0x9|1
PCIE_G1B_TLP|3265| 8.277 sec|TLP|Upstream|0x12|1
PCIE_G1B_TLP|3268| 8.277 sec|TLP|Downstream|0x9|1
PCIE_G1B_TLP|3270| 8.277 sec|TLP|Upstream|0x12|1
PCIE_G1B_TLP|3274| 8.277 sec|TLP|Downstream|0x9|1
PCIE_G1B_TLP|3276| 8.277 sec|TLP|Upstream|0x12|1
PCIE_G1B_TLP|3279| 8.277 sec|TLP|Downstream|0x9|1
PCIE_G1B_TLP|3281| 8.277 sec|TLP|Upstream|0x12|1
PCIE_G1B_TLP|3286| 8.277 sec|TLP|Downstream|0x9|1
PCIE_G1B_TLP|3288| 8.277 sec|TLP|Upstream|0x12|1
PCIE_G1B_TLP|3291| 8.277 sec|TLP|Downstream|0x9|1
PCIE_G1B_TLP|3293| 8.277 sec|TLP|Upstream|0x12|1
PCIE_G1B_TLP|3296| 8.277 sec|TLP|Downstream|0x9|1
PCIE_G1B_TLP|3299| 8.277 sec|TLP|Upstream|0x12|1
PCIE_G1B_TLP|3302| 8.277 sec|TLP|Downstream|0x9|1
PCIE_G1B_TLP|3304| 8.277 sec|TLP|Upstream|0x12|1
PCIE_G1B_TLP|3307| 8.277 sec|TLP|Downstream|0x9|1
PCIE_G1B_TLP|3309| 8.277 sec|TLP|Upstream|0x12|1
PCIE_G1B_TLP|3312| 8.277 sec|TLP|Downstream|0xA|1
PCIE_G1B_TLP|3314| 8.277 sec|TLP|Upstream|0x11|1
PCIE_G1B_TLP|3320| 8.277 sec|TLP|Downstream|0x9|1
PCIE_G1B_TLP|3322| 8.277 sec|TLP|Upstream|0x12|1
PCIE_G1B_TLP|3325| 8.277 sec|TLP|Downstream|0x9|1
PCIE_G1B_TLP|3327| 8.277 sec|TLP|Upstream|0x12|1
PCIE_G1B_TLP|3330| 8.277 sec|TLP|Downstream|0xA|1
PCIE_G1B_TLP|3332| 8.277 sec|TLP|Upstream|0x11|1
PCIE_G1B_TLP|8594| 8.314 sec|TLP|Downstream|0x9|1
PCIE_G1B_TLP|8596| 8.314 sec|TLP|Upstream|0x12|1
