row	packet_index	time_display	channel	tlp_type_hex	tag	requester_id	completer_id	compl_status
1	3129	8.277 sec	Upstream	0xD	0	256	NA	NA
2	3148	8.277 sec	Downstream	0x9	4	0	NA	NA
3	3150	8.277 sec	Upstream	0x12	4	0	256	0
4	3153	8.277 sec	Downstream	0x9	10	0	NA	NA
5	3155	8.277 sec	Upstream	0x12	10	0	256	0
6	3207	8.277 sec	Downstream	0x9	1	0	NA	NA
7	3209	8.277 sec	Upstream	0x12	1	0	256	0
8	3214	8.277 sec	Downstream	0x9	6	0	NA	NA
9	3216	8.277 sec	Upstream	0x12	6	0	256	0
10	3219	8.277 sec	Downstream	0x9	12	0	NA	NA
11	3222	8.277 sec	Upstream	0x12	12	0	256	0
12	3225	8.277 sec	Downstream	0x9	2	0	NA	NA
13	3227	8.277 sec	Upstream	0x12	2	0	256	0
14	3230	8.277 sec	Downstream	0x9	8	0	NA	NA
15	3232	8.277 sec	Upstream	0x12	8	0	256	0
16	3235	8.277 sec	Downstream	0x9	14	0	NA	NA
17	3237	8.277 sec	Upstream	0x12	14	0	256	0
18	3240	8.277 sec	Downstream	0x9	0	0	NA	NA
19	3242	8.277 sec	Upstream	0x12	0	0	256	0
20	3246	8.277 sec	Downstream	0x9	5	0	NA	NA
21	3250	8.277 sec	Upstream	0x12	5	0	256	0
22	3253	8.277 sec	Downstream	0x9	11	0	NA	NA
23	3255	8.277 sec	Upstream	0x12	11	0	256	0
24	3258	8.277 sec	Downstream	0x9	1	0	NA	NA
25	3260	8.277 sec	Upstream	0x12	1	0	256	0
26	3263	8.277 sec	Downstream	0x9	7	0	NA	NA
27	3265	8.277 sec	Upstream	0x12	7	0	256	0
28	3268	8.277 sec	Downstream	0x9	13	0	NA	NA
29	3270	8.277 sec	Upstream	0x12	13	0	256	0
30	3274	8.277 sec	Downstream	0x9	3	0	NA	NA
31	3276	8.277 sec	Upstream	0x12	3	0	256	0
32	3279	8.277 sec	Downstream	0x9	9	0	NA	NA
33	3281	8.277 sec	Upstream	0x12	9	0	256	0
34	3286	8.277 sec	Downstream	0x9	15	0	NA	NA
35	3288	8.277 sec	Upstream	0x12	15	0	256	0
36	3291	8.277 sec	Downstream	0x9	0	0	NA	NA
37	3293	8.277 sec	Upstream	0x12	0	0	256	0
38	3296	8.277 sec	Downstream	0x9	4	0	NA	NA
39	3299	8.277 sec	Upstream	0x12	4	0	256	0
40	3302	8.277 sec	Downstream	0x9	10	0	NA	NA
41	3304	8.277 sec	Upstream	0x12	10	0	256	0
42	3307	8.277 sec	Downstream	0x9	1	0	NA	NA
43	3309	8.277 sec	Upstream	0x12	1	0	256	0
44	3312	8.277 sec	Downstream	0xA	6	0	NA	NA
45	3314	8.277 sec	Upstream	0x11	6	0	256	0
46	3320	8.277 sec	Downstream	0x9	12	0	NA	NA
47	3322	8.277 sec	Upstream	0x12	12	0	256	0
48	3325	8.277 sec	Downstream	0x9	2	0	NA	NA
49	3327	8.277 sec	Upstream	0x12	2	0	256	0
50	3330	8.277 sec	Downstream	0xA	8	0	NA	NA
51	3332	8.277 sec	Upstream	0x11	8	0	256	0
52	8594	8.314 sec	Downstream	0x9	14	0	NA	NA
53	8596	8.314 sec	Upstream	0x12	14	0	256	0
54	8599	8.314 sec	Downstream	0xA	0	0	NA	NA
55	8601	8.314 sec	Upstream	0x11	0	0	256	0
56	8604	8.314 sec	Downstream	0xA	5	0	NA	NA
57	8606	8.314 sec	Upstream	0x11	5	0	256	0
58	8609	8.314 sec	Downstream	0xA	11	0	NA	NA
59	8611	8.314 sec	Upstream	0x11	11	0	256	0
60	8614	8.314 sec	Downstream	0xA	1	0	NA	NA
61	8617	8.314 sec	Upstream	0x11	1	0	256	0
62	8620	8.314 sec	Downstream	0xA	7	0	NA	NA
63	8622	8.314 sec	Upstream	0x11	7	0	256	0
64	8625	8.314 sec	Downstream	0xA	13	0	NA	NA
65	8627	8.314 sec	Upstream	0x11	13	0	256	0
66	8630	8.314 sec	Downstream	0xA	3	0	NA	NA
67	8634	8.314 sec	Upstream	0x11	3	0	256	0
68	8637	8.314 sec	Downstream	0xA	9	0	NA	NA
69	8639	8.314 sec	Upstream	0x11	9	0	256	0
70	8642	8.314 sec	Downstream	0xA	15	0	NA	NA
