candidate_id	detector	anchor_packet	time	request_packet	request_type	tag	other_packet	status_or_later	gui_crosscheck	interpretation
C001	G3B_SAME_KEY_REAPPEARED_BEFORE_COMPLETION	1944517	4.848 sec	1944517	CfgRd0	8	1944559	YES		NOT_EVALUATED
C002	G3B_SAME_KEY_REAPPEARED_BEFORE_COMPLETION	1944519	4.848 sec	1944519	CfgRd0	14	1944563	YES		NOT_EVALUATED
C003	G3B_SAME_KEY_REAPPEARED_BEFORE_COMPLETION	1944521	4.848 sec	1944521	CfgRd0	0	1944543	YES		NOT_EVALUATED
C004	G3B_SAME_KEY_REAPPEARED_BEFORE_COMPLETION	1944523	4.848 sec	1944523	CfgRd0	5	1944571	YES		NOT_EVALUATED
C005	G3B_SAME_KEY_REAPPEARED_BEFORE_COMPLETION	1944525	4.848 sec	1944525	CfgRd0	11	1945005	YES		NOT_EVALUATED
C006	G3B_SAME_KEY_REAPPEARED_BEFORE_COMPLETION	1944527	4.848 sec	1944527	CfgRd0	1	1944551	YES		NOT_EVALUATED
C007	G3B_SAME_KEY_REAPPEARED_BEFORE_COMPLETION	1944531	4.848 sec	1944531	CfgRd0	7	1945016	YES		NOT_EVALUATED
C008	G3B_SAME_KEY_REAPPEARED_BEFORE_COMPLETION	1944533	4.848 sec	1944533	CfgRd0	13	1945021	YES		NOT_EVALUATED
C009	G3B_SAME_KEY_REAPPEARED_BEFORE_COMPLETION	1944535	4.848 sec	1944535	CfgRd0	3	2093063	YES		NOT_EVALUATED
C010	G3B_SAME_KEY_REAPPEARED_BEFORE_COMPLETION	1944537	4.848 sec	1944537	CfgRd0	9	2093071	YES		NOT_EVALUATED
C011	G3B_SAME_KEY_REAPPEARED_BEFORE_COMPLETION	1944539	4.848 sec	1944539	CfgRd0	15	2093079	YES		NOT_EVALUATED
C012	G3B_SAME_KEY_REAPPEARED_BEFORE_COMPLETION	1944543	4.848 sec	1944543	CfgRd0	0	1944567	YES		NOT_EVALUATED
C013	G3B_SAME_KEY_REAPPEARED_BEFORE_COMPLETION	1944547	4.848 sec	1944547	CfgRd0	4	2093091	YES		NOT_EVALUATED
C014	G3B_SAME_KEY_REAPPEARED_BEFORE_COMPLETION	1944549	4.848 sec	1944549	CfgRd0	10	2093522	YES		NOT_EVALUATED
C015	G3B_SAME_KEY_REAPPEARED_BEFORE_COMPLETION	1944551	4.848 sec	1944551	CfgRd0	1	1945011	YES		NOT_EVALUATED
C016	G3B_SAME_KEY_REAPPEARED_BEFORE_COMPLETION	1944553	4.848 sec	1944553	CfgRd0	6	2093550	YES		NOT_EVALUATED
C017	G3B_SAME_KEY_REAPPEARED_BEFORE_COMPLETION	1944555	4.848 sec	1944555	CfgRd0	12	2093564	YES		NOT_EVALUATED
C018	G3B_SAME_KEY_REAPPEARED_BEFORE_COMPLETION	1944557	4.848 sec	1944557	CfgRd0	2	2093577	YES		NOT_EVALUATED
C019	G3B_SAME_KEY_REAPPEARED_BEFORE_COMPLETION	1944559	4.848 sec	1944559	CfgRd0	8	2093601	YES		NOT_EVALUATED
C020	G3B_SAME_KEY_REAPPEARED_BEFORE_COMPLETION	1944563	4.848 sec	1944563	CfgWr0	14	2093615	YES		NOT_EVALUATED
C021	G3B_SAME_KEY_REAPPEARED_BEFORE_COMPLETION	1944567	4.848 sec	1944567	CfgWr0	0	2093086	YES		NOT_EVALUATED
C022	G3B_SAME_KEY_REAPPEARED_BEFORE_COMPLETION	1944571	4.848 sec	1944571	CfgWr0	5	2093652	YES		NOT_EVALUATED
C023	G3A_NON_SUCCESS_COMPLETION	1945008	4.853 sec	1945005	MRd(32)	11	1945008	UR	MATCHED	NOT_EVALUATED
C024	G3A_NON_SUCCESS_COMPLETION	1945013	4.853 sec	1945011	MRd(32)	1	1945013	UR		NOT_EVALUATED
C025	G3A_NON_SUCCESS_COMPLETION	1945018	4.853 sec	1945016	MRd(32)	7	1945018	UR		NOT_EVALUATED
C026	G3A_NON_SUCCESS_COMPLETION	1945023	4.853 sec	1945021	MRd(32)	13	1945023	UR		NOT_EVALUATED
C027	G3A_NON_SUCCESS_COMPLETION	2093065	5.880 sec	2093063	MRd(32)	3	2093065	UR		NOT_EVALUATED
C028	G3A_NON_SUCCESS_COMPLETION	2093075	5.880 sec	2093071	MRd(32)	9	2093075	UR		NOT_EVALUATED
C029	G3A_NON_SUCCESS_COMPLETION	2093081	5.880 sec	2093079	MRd(32)	15	2093081	UR		NOT_EVALUATED
C030	G3A_NON_SUCCESS_COMPLETION	2093088	5.880 sec	2093086	MRd(32)	0	2093088	UR	MATCHED	NOT_EVALUATED
C031	G3A_NON_SUCCESS_COMPLETION	2093093	5.880 sec	2093091	MRd(32)	4	2093093	UR		NOT_EVALUATED
