packet_index	time_display	vendor_type_name	requester_bdf	tag	outcome	completions	completion_packets	statuses
3148	8.277 sec	CfgRd0	000:00.0	4	COMPLETIONS_OBSERVED	1	3150	SC
3153	8.277 sec	CfgRd0	000:00.0	10	COMPLETIONS_OBSERVED	1	3155	SC
3207	8.277 sec	CfgRd0	000:00.0	1	COMPLETIONS_OBSERVED	1	3209	SC
3214	8.277 sec	CfgRd0	000:00.0	6	COMPLETIONS_OBSERVED	1	3216	SC
3219	8.277 sec	CfgRd0	000:00.0	12	COMPLETIONS_OBSERVED	1	3222	SC
3225	8.277 sec	CfgRd0	000:00.0	2	COMPLETIONS_OBSERVED	1	3227	SC
3230	8.277 sec	CfgRd0	000:00.0	8	COMPLETIONS_OBSERVED	1	3232	SC
3235	8.277 sec	CfgRd0	000:00.0	14	COMPLETIONS_OBSERVED	1	3237	SC
3240	8.277 sec	CfgRd0	000:00.0	0	COMPLETIONS_OBSERVED	1	3242	SC
3246	8.277 sec	CfgRd0	000:00.0	5	COMPLETIONS_OBSERVED	1	3250	SC
3253	8.277 sec	CfgRd0	000:00.0	11	COMPLETIONS_OBSERVED	1	3255	SC
3258	8.277 sec	CfgRd0	000:00.0	1	COMPLETIONS_OBSERVED	1	3260	SC
3263	8.277 sec	CfgRd0	000:00.0	7	COMPLETIONS_OBSERVED	1	3265	SC
3268	8.277 sec	CfgRd0	000:00.0	13	COMPLETIONS_OBSERVED	1	3270	SC
3274	8.277 sec	CfgRd0	000:00.0	3	COMPLETIONS_OBSERVED	1	3276	SC
3279	8.277 sec	CfgRd0	000:00.0	9	COMPLETIONS_OBSERVED	1	3281	SC
3286	8.277 sec	CfgRd0	000:00.0	15	COMPLETIONS_OBSERVED	1	3288	SC
3291	8.277 sec	CfgRd0	000:00.0	0	COMPLETIONS_OBSERVED	1	3293	SC
3296	8.277 sec	CfgRd0	000:00.0	4	COMPLETIONS_OBSERVED	1	3299	SC
3302	8.277 sec	CfgRd0	000:00.0	10	COMPLETIONS_OBSERVED	1	3304	SC
3307	8.277 sec	CfgRd0	000:00.0	1	COMPLETIONS_OBSERVED	1	3309	SC
3312	8.277 sec	CfgWr0	000:00.0	6	COMPLETIONS_OBSERVED	1	3314	SC
3320	8.277 sec	CfgRd0	000:00.0	12	COMPLETIONS_OBSERVED	1	3322	SC
3325	8.277 sec	CfgRd0	000:00.0	2	COMPLETIONS_OBSERVED	1	3327	SC
3330	8.277 sec	CfgWr0	000:00.0	8	COMPLETIONS_OBSERVED	1	3332	SC
8594	8.314 sec	CfgRd0	000:00.0	14	COMPLETIONS_OBSERVED	1	8596	SC
8599	8.314 sec	CfgWr0	000:00.0	0	COMPLETIONS_OBSERVED	1	8601	SC
8604	8.314 sec	CfgWr0	000:00.0	5	COMPLETIONS_OBSERVED	1	8606	SC
8609	8.314 sec	CfgWr0	000:00.0	11	COMPLETIONS_OBSERVED	1	8611	SC
8614	8.314 sec	CfgWr0	000:00.0	1	COMPLETIONS_OBSERVED	1	8617	SC
8620	8.314 sec	CfgWr0	000:00.0	7	COMPLETIONS_OBSERVED	1	8622	SC
8625	8.314 sec	CfgWr0	000:00.0	13	COMPLETIONS_OBSERVED	1	8627	SC
8630	8.314 sec	CfgWr0	000:00.0	3	COMPLETIONS_OBSERVED	1	8634	SC
8637	8.314 sec	CfgWr0	000:00.0	9	COMPLETIONS_OBSERVED	1	8639	SC
8642	8.314 sec	CfgWr0	000:00.0	15	COMPLETIONS_OBSERVED	1	8644	SC
8648	8.314 sec	CfgWr0	000:00.0	0	COMPLETIONS_OBSERVED	1	8650	SC
8653	8.314 sec	CfgWr0	000:00.0	4	COMPLETIONS_OBSERVED	1	8655	SC
8658	8.314 sec	CfgWr0	000:00.0	10	COMPLETIONS_OBSERVED	1	8660	SC
8665	8.314 sec	CfgWr0	000:00.0	1	COMPLETIONS_OBSERVED	1	8667	SC
8671	8.314 sec	CfgWr0	000:00.0	6	COMPLETIONS_OBSERVED	1	8673	SC
8676	8.314 sec	CfgRd0	000:00.0	12	COMPLETIONS_OBSERVED	1	8678	SC
8681	8.314 sec	CfgRd0	000:00.0	2	COMPLETIONS_OBSERVED	4	8683,13807,52555,54925	SC,SC,SC,SC
8686	8.314 sec	CfgWr0	000:00.0	8	COMPLETIONS_OBSERVED	4	8688,13810,52560,54930	SC,SC,SC,SC
8691	8.314 sec	CfgWr0	000:00.0	14	COMPLETIONS_OBSERVED	4	8693,13815,52565,54937	SC,SC,SC,SC
8696	8.314 sec	CfgWr0	000:00.0	0	COMPLETIONS_OBSERVED	1	8698	SC
8702	8.314 sec	CfgRd0	000:00.0	5	COMPLETIONS_OBSERVED	4	8704,15518,52575,54949	SC,SC,SC,SC
8709	8.314 sec	CfgWr0	000:00.0	11	COMPLETIONS_OBSERVED	4	8711,15523,52580,54956	SC,SC,SC,SC
8714	8.314 sec	CfgWr0	000:00.0	1	COMPLETIONS_OBSERVED	1	8716	SC
8719	8.314 sec	CfgRd0	000:00.0	7	COMPLETIONS_OBSERVED	4	8721,48563,52590,56655	SC,SC,SC,SC
8725	8.314 sec	CfgWr0	000:00.0	13	COMPLETIONS_OBSERVED	4	8727,51957,52593,56660	SC,SC,SC,SC
8730	8.314 sec	CfgRd0	000:00.0	3	COMPLETIONS_OBSERVED	3	8732,52598,56663	SC,SC,SC
8737	8.314 sec	CfgWr0	000:00.0	9	COMPLETIONS_OBSERVED	4	8739,52245,52601,56676	SC,SC,SC,SC
8742	8.314 sec	CfgRd0	000:00.0	15	COMPLETIONS_OBSERVED	4	8744,52514,52606,56679	SC,SC,SC,SC
8748	8.314 sec	CfgWr0	000:00.0	0	COMPLETIONS_OBSERVED	7	8750,13822,52525,52570,54285,54944,56684	SC,SC,SC,SC,SC,SC,SC
